t[s],Relative error in y,vy[m/s],x[m],ay[m/s]
0.21000000000000016,0.00010487404771598642,-2.055772285180554,0.0,-9.754779053815673
0.21100000000000016,0.00010539211069063539,-2.0655270642343697,0.0,-9.754286574849713
0.21200000000000016,0.00010591044736927214,-2.0752813508092194,0.0,-9.753791789608547
0.21300000000000016,0.00010642905924074952,-2.085035142598828,0.0,-9.753294698563066
0.21400000000000016,0.00010694794778925091,-2.094788437297391,0.0,-9.752795302186323
0.21500000000000016,0.00010746711451065867,-2.1045412325995776,0.0,-9.75229360095353
0.21600000000000016,0.00010798656089803604,-2.114293526200531,0.0,-9.751789595342064
0.21700000000000016,0.00010850628844873048,-2.124045315795873,0.0,-9.751283285831459
0.21800000000000017,0.0001090262986611183,-2.1337965990817045,0.0,-9.750774672903404
0.21900000000000017,0.00010954659304098768,-2.143547373754608,0.0,-9.750263757041754
0.22000000000000017,0.00011006717309191659,-2.15329763751165,0.0,-9.749750538732512
0.22100000000000017,0.00011058804032584117,-2.1630473880503827,0.0,-9.749235018463843
0.22200000000000017,0.0001111091962527025,-2.1727966230688467,0.0,-9.748717196726062
0.22300000000000017,0.00011163064238774227,-2.182545340265573,0.0,-9.74819707401164
0.22400000000000017,0.00011215238025043028,-2.192293537339584,0.0,-9.747674650815204
0.22500000000000017,0.000112674411359565,-2.2020412119903994,0.0,-9.747149927633524
0.22600000000000017,0.00011319673724148671,-2.2117883619180327,0.0,-9.746622904965529
0.22700000000000017,0.00011371935942208141,-2.2215349848229984,0.0,-9.746093583312291
0.22800000000000017,0.00011424227943226363,-2.231281078406311,0.0,-9.745561963177037
0.22900000000000018,0.00011476549880453224,-2.241026640369488,0.0,-9.745028045065139
0.23000000000000018,0.00011528901907718165,-2.250771668414553,0.0,-9.744491829484113
0.23100000000000018,0.00011581284179049214,-2.260516160244037,0.0,-9.743953316943625
0.23200000000000018,0.00011633696848419226,-2.2702601135609806,0.0,-9.743412507955481
0.23300000000000018,0.00011686140070641577,-2.280003526068936,0.0,-9.742869403033637
0.23400000000000018,0.00011738614000587643,-2.28974639547197,0.0,-9.742324002694183
0.23500000000000018,0.00011791118793663089,-2.299488719474664,0.0,-9.741776307455357
0.23600000000000018,0.00011843654605335102,-2.3092304957821193,0.0,-9.741226317837535
0.23700000000000018,0.00011896221591334912,-2.3189717220999566,0.0,-9.740674034363234
0.23800000000000018,0.00011948819908280839,-2.32871239613432,0.0,-9.740119457557107
0.23900000000000018,0.00012001449712346623,-2.338452515591877,0.0,-9.739562587945944
0.24000000000000019,0.00012054111160706614,-2.3481920781798227,0.0,-9.739003426058675
0.2410000000000002,0.00012106804410459606,-2.3579310816058814,0.0,-9.738441972426362
0.2420000000000002,0.00012159529619014324,-2.3676695235783076,0.0,-9.7378782275822
0.2430000000000002,0.00012212286944658453,-2.3774074018058897,0.0,-9.737312192061522
0.2440000000000002,0.00012265076545371753,-2.387144713997951,0.0,-9.736743866401786
0.2450000000000002,0.0001231789857965086,-2.396881457864353,0.0,-9.736173251142588
0.2460000000000002,0.0001237075320663959,-2.4066176311154956,0.0,-9.735600346825649
0.2470000000000002,0.0001242364058561849,-2.4163532314623213,0.0,-9.735025153994819
0.2480000000000002,0.0001247656087600653,-2.426088256616316,0.0,-9.734447673196078
0.2490000000000002,0.000125295142378758,-2.4358227042895124,0.0,-9.73386790497753
0.25000000000000017,0.0001258250083158734,-2.44555657219449,0.0,-9.733285849889405
0.25100000000000017,0.00012635520817847997,-2.455289858044379,0.0,-9.732701508484059
0.25200000000000017,0.0001268857435749239,-2.4650225595528634,0.0,-9.732114881315969
0.25300000000000017,0.00012741661611998127,-2.4747546744341795,0.0,-9.731525968941735
