t[s],Relative error in y,vy[m/s],Relative error in x,vx[m/s]
0.7100000000000004,0.0046083329476130095,-6.828184882374032,0.03341946206458885,9.198977517875054
0.7200000000000004,0.004716062295756292,-6.920538929047517,0.03385490849983068,9.188611422421694
0.7300000000000004,0.0048263820722579545,-7.01273743131163,0.03428966261829302,9.178268676387342
0.7400000000000004,0.00493940620180172,-7.104778566742267,0.03472372622161318,9.167949200940088
0.7500000000000004,0.005055254939940194,-7.196660526628168,0.035157101104813224,9.157652917602588
0.7600000000000005,0.0051740553294687425,-7.288381516093066,0.03558978905637856,9.147379748250078
0.7700000000000005,0.0052959416965320544,-7.379939754215361,0.03602179185826651,9.137129615108387
0.7800000000000005,0.0054210561906248645,-7.471333474145319,0.03645311128598116,9.126902440751984
0.7900000000000005,0.00554954937306152,-7.562560923219788,0.036883749108536854,9.116698148102016
0.8000000000000005,0.005681580859118361,-7.653620363074405,0.03731370708853328,9.106516660424374
0.8100000000000005,0.0058173200195815395,-7.744510069753302,0.03774298698217432,9.096357901327767
0.8200000000000005,0.005956946748305768,-7.835228333816289,0.0381715905392881,9.086221794761808
0.8300000000000005,0.006100652303102129,-7.925773460443517,0.03859951950339883,9.076108265015117
0.8400000000000005,0.006248640228276709,-8.016143769537598,0.03902677561169222,9.066017236713428
0.8500000000000005,0.006401127368254947,-8.106337595823195,0.03945336059508898,9.055948634817721
0.8600000000000005,0.0065583449829281415,-8.196353288944056,0.03987927617825155,9.045902384622355
0.8700000000000006,0.006720539976878718,-8.2861892135575,0.040304524079655485,9.03587841175322
0.8800000000000006,0.006887976256283517,-8.375843749426348,0.04072910601155607,9.025876642165901
0.8900000000000006,0.0070609362292229465,-8.465315291508285,0.04115302368005914,9.01589700214385
0.9000000000000006,0.0072397224674472845,-8.554602250042665,0.04157627878513859,9.005939418296576
0.9100000000000006,0.007424659550226941,-8.643703050634752,0.041998873020655844,8.996003817557837
0.9200000000000006,0.007616096113977274,-8.732616134337377,0.04242080807442608,8.98609012718386
0.9300000000000006,0.00781440713503507,-8.82133995773004,0.04284208562818919,8.976198274751562
0.9400000000000006,0.008019996477064773,-8.909872992995433,0.04326270735767647,8.966328188156774
0.9500000000000006,0.008233299739649818,-8.998213727993399,0.04368267493261915,8.956479795612502
0.9600000000000006,0.008454787450416883,-9.086360666332304,0.04410199001681263,8.946653025647173
0.9700000000000006,0.008684968650066774,-9.174312327437868,0.04452065426808954,8.936847807102911
0.9800000000000006,0.008924394927900559,-9.262067246619399,0.04493866933838363,8.927064069133815
0.9900000000000007,0.009173664975293705,-9.349623975133488,0.045356036873738986,8.917301741204248
1.0000000000000007,0.009433429736428064,-9.43698108024513,0.04577275851437191,8.907560753087147
1.0100000000000007,0.009704398249676283,-9.52413714528629,0.04618883589464626,8.89784103486233
1.0200000000000007,0.009987344290184262,-9.611090769711916,0.04660427064313374,8.888142516914824
1.0300000000000007,0.010283113944882634,-9.69784056915342,0.04701906438263324,8.878465129933202
1.0400000000000007,0.010592634276263614,-9.784385175469593,0.047433218730187715,8.86880880490793
1.0500000000000007,0.01091692326200322,-9.870723236795005,0.04784673529714442,8.859173473129724
1.0600000000000007,0.01125710123517167,-9.956853417585872,0.0482596156891318,8.849559066187917
1.0700000000000007,0.011614404096105762,-10.04277439866341,0.04867186150611703,8.839965515968839
1.0800000000000007,0.011990198624590711,-10.12848487725466,0.0490834743424174,8.830392754654207
1.0900000000000007,0.012386000292483795,-10.213983567030835,0.0494944557867574,8.82084071471953
1.1000000000000008,0.01280349406642933,-10.299269198143158,0.049904807422245366,8.81130932893251
1.1100000000000008,0.013244558803236372,-10.38434051725622,0.05031453082643254,8.801798530351467
1.1200000000000008,0.013711295983102036,-10.469196287578875,0.050723627571321483,8.792308252323778
1.1300000000000008,0.01420606370819316,-10.553835288892662,0.05113209922342235,8.782838428484302
1.1400000000000008,0.014731517127659924,-10.63825631757779,0.05153994734373209,8.773388992753846
1.1500000000000008,0.01529065675241467,-10.722458186636675,0.051947173487789426,8.76395987933762
1.1600000000000008,0.015886886516611062,-10.806439725715064,0.05235377920569258,8.754551022723707
1.1700000000000008,0.016524083959481004,-10.890199781120739,0.05275976604211646,8.745162357681547
1.1800000000000008,0.017206685585921203,-10.97373721583983,0.05316513553636553,8.735793819260426
1.1900000000000008,0.017939791378843214,-11.057050909550746,0.05356988922235534,8.72644534278798
1.2000000000000008,0.018729293671315577,-11.140139758635737,0.05397402862866552,8.717116863868698
1.2100000000000009,0.01958203727021678,-11.2230026761901,0.05437755527854975,8.707808318382451
1.2200000000000009,0.020506020045423963,-11.305638592029053,0.05478047068998688,8.698519642483014
1.2300000000000009,0.02151064643976589,-11.38804645269229,0.05518277637566392,8.689250772596607
1.2400000000000009,0.022607050937851734,-11.470225221446228,0.055584473843026866,8.680001645420445
1.2500000000000009,0.02380851510314847,-11.552173878283966,0.05598556459429766,8.670772197921293
1.260000000000001,0.025131011359983687,-11.633891419922989,0.05638605012649063,8.661562367334033
1.270000000000001,0.02659392085819707,-11.715376859800596,0.056785931931462454,8.65237209116024
1.280000000000001,0.028220994102999133,-11.79662922806712,0.0571852114958957,8.643201307166764
1.290000000000001,0.030041655851547965,-11.87764757157692,0.05758389030134788,8.634049953384329
1.300000000000001,0.032092807359444045,-11.958430953877183,0.05798196982426171,8.62491796810613
1.310000000000001,0.034421362132725924,-12.038978455194549,0.058379451536013885,8.615805289886453
1.320000000000001,0.03708788881855342,-12.119289172419581,0.058776336902898074,8.606711857539281
1.330000000000001,0.040171969447901655,-12.199362219089101,0.059172627386174154,8.597637610136939
1.340000000000001,0.04378029562169054,-12.279196725366415,0.0595683244420776,8.588582487008722
1.350000000000001,0.04805928678341961,-12.358791838019433,0.05996342952186663,8.579546427739544
1.360000000000001,0.053215479806651866,-12.438146720396736,0.060357944071807126,8.570529372168592
1.370000000000001,0.059549912502843576,-12.517260552401567,0.060751869533219365,8.561531260387989
1.380000000000001,0.06751915346810108,-12.59613253046382,0.06114520734249407,8.55255203274147
1.390000000000001,0.0778506435149024,-12.674761867510005,0.06153795893110772,8.543591629823059
