#  x     x-floor(x+0.5)     xsum
  0.38050   0.38050   0.34715
  0.38150   0.38150   0.34615
  0.38250   0.38250   0.34525
  0.38350   0.38350   0.34445
  0.38450   0.38450   0.34377
  0.38550   0.38550   0.34322
  0.38650   0.38650   0.34280
  0.38750   0.38750   0.34252
  0.38850   0.38850   0.34238
  0.38950   0.38950   0.34240
  0.39050   0.39050   0.34258
  0.39150   0.39150   0.34292
  0.39250   0.39250   0.34343
  0.39350   0.39350   0.34412
  0.39450   0.39450   0.34498
  0.39550   0.39550   0.34603
  0.39650   0.39650   0.34727
  0.39750   0.39750   0.34869
  0.39850   0.39850   0.35031
  0.39950   0.39950   0.35211
  0.40050   0.40050   0.35411
  0.40150   0.40150   0.35631
  0.40250   0.40250   0.35869
  0.40350   0.40350   0.36127
  0.40450   0.40450   0.36404
  0.40550   0.40550   0.36699
  0.40650   0.40650   0.37013
  0.40750   0.40750   0.37345
  0.40850   0.40850   0.37695
  0.40950   0.40950   0.38062
  0.41050   0.41050   0.38445
  0.41150   0.41150   0.38844
  0.41250   0.41250   0.39258
  0.41350   0.41350   0.39686
  0.41450   0.41450   0.40128
  0.41550   0.41550   0.40583
  0.41650   0.41650   0.41049
  0.41750   0.41750   0.41525
  0.41850   0.41850   0.42011
  0.41950   0.41950   0.42506
  0.42050   0.42050   0.43007
  0.42150   0.42150   0.43514
  0.42250   0.42250   0.44025
  0.42350   0.42350   0.44540
  0.42450   0.42450   0.45056
  0.42550   0.42550   0.45573
  0.42650   0.42650   0.46088
  0.42750   0.42750   0.46600
  0.42850   0.42850   0.47108
  0.42950   0.42950   0.47610
  0.43050   0.43050   0.48105
  0.43150   0.43150   0.48590
  0.43250   0.43250   0.49065
  0.43350   0.43350   0.49526
  0.43450   0.43450   0.49974
  0.43550   0.43550   0.50406
  0.43650   0.43650   0.50820
  0.43750   0.43750   0.51215
  0.43850   0.43850   0.51589
  0.43950   0.43950   0.51941
  0.44050   0.44050   0.52268
  0.44150   0.44150   0.52569
  0.44250   0.44250   0.52843
  0.44350   0.44350   0.53087
  0.44450   0.44450   0.53302
  0.44550   0.44550   0.53483
  0.44650   0.44650   0.53632
  0.44750   0.44750   0.53745
  0.44850   0.44850   0.53822
  0.44950   0.44950   0.53861
  0.45050   0.45050   0.53861
  0.45150   0.45150   0.53820
  0.45250   0.45250   0.53739
  0.45350   0.45350   0.53614
  0.45450   0.45450   0.53447
  0.45550   0.45550   0.53234
  0.45650   0.45650   0.52977
  0.45750   0.45750   0.52673
  0.45850   0.45850   0.52322
  0.45950   0.45950   0.51924
  0.46050   0.46050   0.51478
  0.46150   0.46150   0.50983
  0.46250   0.46250   0.50440
  0.46350   0.46350   0.49847
  0.46450   0.46450   0.49205
  0.46550   0.46550   0.48513
  0.46650   0.46650   0.47772
  0.46750   0.46750   0.46982
  0.46850   0.46850   0.46142
  0.46950   0.46950   0.45254
  0.47050   0.47050   0.44317
  0.47150   0.47150   0.43332
  0.47250   0.47250   0.42299
  0.47350   0.47350   0.41220
  0.47450   0.47450   0.40094
  0.47550   0.47550   0.38924
  0.47650   0.47650   0.37709
  0.47750   0.47750   0.36451
  0.47850   0.47850   0.35151
  0.47950   0.47950   0.33810
  0.48050   0.48050   0.32429
  0.48150   0.48150   0.31010
  0.48250   0.48250   0.29554
  0.48350   0.48350   0.28063
  0.48450   0.48450   0.26539
  0.48550   0.48550   0.24982
  0.48650   0.48650   0.23395
  0.48750   0.48750   0.21780
  0.48850   0.48850   0.20138
  0.48950   0.48950   0.18471
  0.49050   0.49050   0.16782
  0.49150   0.49150   0.15071
  0.49250   0.49250   0.13343
  0.49350   0.49350   0.11597
  0.49450   0.49450   0.09838
  0.49550   0.49550   0.08066
  0.49650   0.49650   0.06284
  0.49750   0.49750   0.04494
  0.49850   0.49850   0.02699
  0.49950   0.49950   0.00900
  0.50050  -0.49950  -0.00900
  0.50150  -0.49850  -0.02699
  0.50250  -0.49750  -0.04494
  0.50350  -0.49650  -0.06284
  0.50450  -0.49550  -0.08066
  0.50550  -0.49450  -0.09838
  0.50650  -0.49350  -0.11597
  0.50750  -0.49250  -0.13343
  0.50850  -0.49150  -0.15071
  0.50950  -0.49050  -0.16782
  0.51050  -0.48950  -0.18471
  0.51150  -0.48850  -0.20138
  0.51250  -0.48750  -0.21780
  0.51350  -0.48650  -0.23395
  0.51450  -0.48550  -0.24982
  0.51550  -0.48450  -0.26539
  0.51650  -0.48350  -0.28063
  0.51750  -0.48250  -0.29554
  0.51850  -0.48150  -0.31010
  0.51950  -0.48050  -0.32429
  0.52050  -0.47950  -0.33810
  0.52150  -0.47850  -0.35151
  0.52250  -0.47750  -0.36451
  0.52350  -0.47650  -0.37709
  0.52450  -0.47550  -0.38924
  0.52550  -0.47450  -0.40094
  0.52650  -0.47350  -0.41220
  0.52750  -0.47250  -0.42299
  0.52850  -0.47150  -0.43332
  0.52950  -0.47050  -0.44317
  0.53050  -0.46950  -0.45254
  0.53150  -0.46850  -0.46142
  0.53250  -0.46750  -0.46982
  0.53350  -0.46650  -0.47772
  0.53450  -0.46550  -0.48513
  0.53550  -0.46450  -0.49205
  0.53650  -0.46350  -0.49847
  0.53750  -0.46250  -0.50440
  0.53850  -0.46150  -0.50983
  0.53950  -0.46050  -0.51478
  0.54050  -0.45950  -0.51924
  0.54150  -0.45850  -0.52322
  0.54250  -0.45750  -0.52673
  0.54350  -0.45650  -0.52977
  0.54450  -0.45550  -0.53234
  0.54550  -0.45450  -0.53447
  0.54650  -0.45350  -0.53614
  0.54750  -0.45250  -0.53739
  0.54850  -0.45150  -0.53820
  0.54950  -0.45050  -0.53861
  0.55050  -0.44950  -0.53861
  0.55150  -0.44850  -0.53822
  0.55250  -0.44750  -0.53745
  0.55350  -0.44650  -0.53632
  0.55450  -0.44550  -0.53483
  0.55550  -0.44450  -0.53302
